S.No,Category,Main tag,Sub tag,Main tag 2,Sub tag 2,Main tag 2,Sub tag 2,Sub category,Sub category-2,,Title,Upload time(in yrs),Length ( min rounder to next minute),Views(In K rounded to '000s),Likes ( In K rounded to next),Singer/Narrator,Lable/Owner/YT channel,Link,Comment,,,Main tag,Sub tag,Category,Sub Category,Sub Category-2,Sub category-3,Singer,Lable
82,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 4 - कंस मगध राज्य पर क़ब्ज़ा कर लेता है,,,,,,,https://www.youtube.com/watch?v=qnSsCcRZVdE&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=4,,,,,,,,,,,
83,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 5 - कंस का राज्यभिषेक | देवकी के दूसरे पुत्र का जनम,,,,,,,https://www.youtube.com/watch?v=I15pQSnsa34&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=5,,,,,,,,,,,
84,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 6 - शेष नाग का देवकी के गर्भ में समाना | कंस का शेष नाग से भय,,,,,,,https://www.youtube.com/watch?v=ZAWKCE2DX5s&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=6,,,,,,,,,,,
85,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 7 - रोहिनी का गर्भवती होना | यशोदा नंदराय का पुत्र प्राप्ति यज्ञ,,,,,,,https://www.youtube.com/watch?v=8v2KqBYIg4I&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=7,,,,,,,,,,,
86,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 8 - श्री हरी का देवकी के गर्भ में स्थापित होना,,,,,,,https://www.youtube.com/watch?v=iqnSO7azw9A&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=8,,,,,,,,,,,
87,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 9 - बलराम जनम | श्री कृष्ण जनम | वसुदेब का यमुना नदी पार करना,,,,,,,https://www.youtube.com/watch?v=LBAvLYYeWf4&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=9,,,,,,,,,,,
88,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 10 - श्री कृष्ण जनम पर नंदराय के घर उत्सव,,,,,,,https://www.youtube.com/watch?v=iPgYplU2u6Q&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=10,,,,,,,,,,,
92,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 11 - देवकी वासुदेव की रिहाई | कंस का सभी नवजात बचो को मारना,,,,,,,https://www.youtube.com/watch?v=Epc13d1DE3s&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=11,,,,,,,,,,,
93,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 12 - श्री कृष्ण द्वारा पुतना वध,,,,,,,https://www.youtube.com/watch?v=hzae8Jus5uY&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=12,,,,,,,,,,,
,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 13 - श्री कृष्ण ने किया श्रीधर को अपंग | कगासुर का वध,,,,,,,https://www.youtube.com/watch?v=xEh43ziaNms&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=13,,,,,,,,,,,
97,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 14 - उत्करच का वध | बलराम का नामकरण,,,,,,,https://www.youtube.com/watch?v=99SIb8uQQQk&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=14,,,,,,,,,,,
100,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 15 - श्री कृष्ण नामकरण | वासुदेव को कंस का बुलावा,,,,,,,https://www.youtube.com/watch?v=tUCc7YeY28o&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=15,,,,,,,,,,,
102,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 16 - वासुदेव देवकी को कंस फिर से डाल देता है कारागार में,,,,,,,https://www.youtube.com/watch?v=9Be-yc2KnCE&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=16,,,,,,,,,,,
104,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 17 - तृणावर्त दैत्य का वध | भगवान शिव आए गोकुल श्री कृष्ण दर्शन को,,,,,,,https://www.youtube.com/watch?v=weQngq8cZvU&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=17,,,,,,,,,,,
106,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 18 - भगवान शिव और श्री कृष्ण मिलाप | श्री कृष्ण की माखन लीला,,,,,,,https://www.youtube.com/watch?v=dZY75RLzPdY&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=18,,,,,,,,,,,
